Date ID,Open,High,Low,Close,Adj Close,Volume,Date pos,Date 
16,164.940002,168.270004,163.929993,167.139999,167.139999,1784900,197,16-Jul-20
17,167.279999,170.119995,164.660004,169.160004,169.160004,1368900,198,17-Jul-20
18,170.410004,170.990005,166.300003,168.940002,168.940002,1124300,199,18-Jul-20
19,166.350006,168.5,165.050003,168.029999,168.029999,881400,200,19-Jul-20
20,169,170.800003,167.839996,168.220001,168.220001,2043700,201,20-Jul-20
21,170.520004,172,164.419998,165.529999,165.529999,1005400,202,21-Jul-20
22,166.699997,167.110001,164.029999,164.440002,164.440002,1003100,203,22-Jul-20
23,165.75,166.610001,163.509995,164.550003,164.550003,782500,204,23-Jul-20
24,164.279999,164.550003,159.479996,163.289993,163.289993,1387000,205,24-Jul-20
25,164.289993,164.75,161.809998,164.429993,164.429993,646200,206,25-Jul-20
26,163.960007,166.660004,162.029999,165.050003,165.050003,830000,207,26-Jul-20
27,166.300003,167.889999,165.149994,167.360001,167.360001,722200,208,27-Jul-20
28,165.979996,166.759995,163.529999,164.389999,164.389999,845300,209,28-Jul-20
29,164.660004,165.610001,160.5,162.770004,162.770004,1257400,210,29-Jul-20
30,162.460007,162.770004,153.940002,154.919998,154.919998,1678700,211,30-Jul-20
31,156.839996,157.110001,151,154.029999,154.029999,1127000,212,31-Jul-20
Aug,154.779999,160.190002,154.199997,158.880005,158.880005,1163300,213,1-Aug-20
2,161.630005,166.589996,161.190002,163.720001,163.720001,1301300,214,2-Aug-20
3,167.100006,171.539993,164.649994,168.679993,168.679993,2131000,215,3-Aug-20
4,172.779999,179.460007,164.240005,175.190002,175.190002,3182000,216,4-Aug-20
5,169.5,169.839996,156.160004,159.990005,159.990005,3189300,217,5-Aug-20
6,157.759995,157.979996,152.880005,154.889999,154.889999,3032000,218,6-Aug-20
7,157.210007,161.809998,156.509995,161.570007,161.570007,1534700,219,7-Aug-20
8,162.199997,163.990005,159.580002,160.220001,160.220001,1410800,220,8-Aug-20
9,160.199997,162.889999,159.399994,161.830002,161.830002,1148600,221,9-Aug-20
10,161.350006,162.649994,159.559998,162.389999,162.389999,1047000,222,10-Aug-20
11,162.350006,164.949997,161.789993,162.199997,162.199997,946300,223,11-Aug-20
12,161.880005,163.320007,159.839996,161.559998,161.559998,985500,224,12-Aug-20
13,160.199997,168.070007,159.550003,165.580002,165.580002,1688300,225,13-Aug-20
14,165.990005,172.529999,165.229996,170.050003,170.050003,1455300,226,14-Aug-20
15,170.050003,171.589996,166.889999,171.190002,171.190002,1138100,227,15-Aug-20
16,171.100006,171.270004,167.289993,169.830002,169.830002,1222100,228,16-Aug-20
17,170.550003,174.440002,170.550003,173.979996,173.979996,889200,229,17-Aug-20
18,175.869995,177.940002,174.350006,176.410004,176.410004,615100,230,18-Aug-20
19,176.779999,181.710007,175.139999,180.509995,180.509995,2667000,231,19-Aug-20
20,181.5,181.5,175.25,180.059998,180.059998,1151200,232,20-Aug-20
21,178.949997,181.479996,177.789993,181.300003,181.300003,703000,233,21-Aug-20
22,181.330002,184.429993,180.220001,180.759995,180.759995,950900,234,22-Aug-20
23,180.100006,181.649994,178.889999,180.729996,180.729996,1126600,235,23-Aug-20
24,181.380005,184.699997,180.770004,183.389999,183.389999,1335600,236,24-Aug-20
25,184.410004,186.729996,182.440002,183.600006,183.600006,1784900,237,25-Aug-20
26,181.25,185.139999,181,183.679993,183.679993,1305800,238,26-Aug-20
27,182.830002,188.539993,182.350006,187.820007,187.820007,1507500,239,27-Aug-20
28,188.190002,191,186.839996,190.210007,190.210007,1585800,240,28-Aug-20
29,193.380005,203.690002,193,195.199997,195.199997,3660300,241,29-Aug-20
30,195.990005,197.190002,193.630005,194.699997,194.699997,2440200,242,30-Aug-20
31,194.539993,197.880005,193.75,195.119995,195.119995,2920400,243,31-Aug-20
Sep,197.009995,197.449997,191.759995,197.399994,197.399994,2128400,244,1-Sep-20
2,197.990005,205.839996,197.399994,203.389999,203.389999,5178300,245,2-Sep-20
3,203.960007,204.419998,198.279999,201.770004,201.770004,1087700,246,3-Sep-20
4,202.740005,204.160004,200.580002,201.860001,201.860001,706000,247,4-Sep-20
5,202.800003,203.440002,199.929993,201.820007,201.820007,684500,248,5-Sep-20
6,202.470001,204.440002,201.490005,202.5,202.5,211600,249,6-Sep-20
7,204.789993,204.789993,200.550003,201.119995,201.119995,631500,250,7-Sep-20
8,202.149994,204.854996,200.940002,202.449997,202.449997,770595,251,8-Sep-20
